scenario,scenario_title,method,path_found,energy_feasible,task_success,battery_capacity,energy_margin,path_length,total_cost,energy,terrain_risk,shadow_ratio,comm_blackout_ratio,avg_slope
shadow_comm,Polar Shadow And Communication Gaps,Greedy,1,0,0,118.0,-0.6166660392936336,55.42640687119285,207.091703778977,118.61666603929363,21.67055697364752,0.045454545454545456,1.0,0.28001265849198914
shadow_comm,Polar Shadow And Communication Gaps,A* shortest,0,0,0,118.0,-1.0257893645633231,46.59797974644666,193.9692044871539,119.02578936456332,19.558934356554772,0.1111111111111111,1.0,0.3071926210154104
shadow_comm,Polar Shadow And Communication Gaps,A* risk-aware,1,1,1,118.0,25.39828327180784,62.94112549695427,158.98677087233537,92.60171672819216,9.37090931157925,0.0,0.6666666666666666,0.17353535762183797
shadow_comm,Polar Shadow And Communication Gaps,DQN,1,1,1,118.0,0.2415545946566766,57.42640687119285,208.15743902531955,117.75844540534332,20.99451285394031,0.043478260869565216,1.0,0.25314158378131124
shadow_comm,Polar Shadow And Communication Gaps,PPO,1,1,1,118.0,0.2415545946566766,57.42640687119285,208.15743902531955,117.75844540534332,20.99451285394031,0.043478260869565216,1.0,0.25314158378131124
complex_moon,Integrated Lunar Industrial Terrain,Random,0,0,0,108.0,-2.2687519013809805,63.94112549695427,188.76388763092098,110.26875190138098,8.862525558168631,0.0,1.0,0.16113682833033874
complex_moon,Integrated Lunar Industrial Terrain,DFS,0,0,0,108.0,-0.6131735053629086,52.59797974644666,201.43670082904674,108.61317350536291,24.421732994633686,0.0,1.0,0.2778984046341354
complex_moon,Integrated Lunar Industrial Terrain,BFS,1,1,1,108.0,2.9133731754926515,53.42640687119285,198.03323856950288,105.08662682450735,24.04402461269893,0.047619047619047616,1.0,0.24866725268330778
complex_moon,Integrated Lunar Industrial Terrain,Greedy,0,0,0,108.0,-1.8890692422994277,53.01219330881976,206.0970542050231,109.88906924229943,25.76619063367352,0.0,1.0,0.26943311032555994
complex_moon,Integrated Lunar Industrial Terrain,A* shortest,1,1,1,108.0,6.752043877105052,53.42640687119285,192.43304025735685,101.24795612289495,23.857757300577447,0.047619047619047616,1.0,0.28470850715660584
complex_moon,Integrated Lunar Industrial Terrain,A* risk-aware,1,1,1,108.0,7.935553145994817,74.4558441227157,173.56078342514851,100.06444685400518,8.334100844042867,0.0,0.6029411764705882,0.12256030653004216
complex_moon,Integrated Lunar Industrial Terrain,DQN,0,1,0,108.0,0.887347110553236,54.18376618407356,206.50086278322522,107.11265288944676,26.346415564728296,0.0,1.0,0.2703730810165521
complex_moon,Integrated Lunar Industrial Terrain,PPO,0,1,0,108.0,0.887347110553236,54.18376618407356,206.50086278322522,107.11265288944676,26.346415564728296,0.0,1.0,0.2703730810165521
low_battery_bad_case,Low Battery Bad Case,Random,0,0,0,112.0,-0.3308736946106592,73.84062043356595,204.78279096365395,112.33087369461066,13.457404039887805,0.0,1.0,0.21705490386915816
low_battery_bad_case,Low Battery Bad Case,DFS,0,0,0,112.0,-1.7843556470322568,48.08326112068523,198.78674448113887,113.78435564703226,25.807875604951015,0.0,1.0,0.37308216014145773
low_battery_bad_case,Low Battery Bad Case,BFS,0,0,0,112.0,-0.9581288744055598,47.66904755831213,199.86454552162903,112.95812887440556,26.691903418067874,0.0,1.0,0.3740543833733678
low_battery_bad_case,Low Battery Bad Case,Greedy,1,1,1,112.0,1.2049838868800151,55.426406871192846,175.59194233933977,110.79501611311998,11.857936167081235,0.0,1.0,0.26949854925184624
low_battery_bad_case,Low Battery Bad Case,A* shortest,0,0,0,112.0,-1.7843556470322568,48.08326112068523,198.78674448113887,113.78435564703226,25.807875604951015,0.0,1.0,0.37308216014145773
low_battery_bad_case,Low Battery Bad Case,A* risk-aware,1,1,1,112.0,33.296851069724255,57.76955262170046,141.63456164892347,78.70314893027574,7.082727197470038,0.0,0.8958333333333334,0.1475568166139591
low_battery_bad_case,Low Battery Bad Case,DQN,1,1,1,112.0,1.2049838868800151,55.426406871192846,175.59194233933977,110.79501611311998,11.857936167081235,0.0,1.0,0.26949854925184624
low_battery_bad_case,Low Battery Bad Case,PPO,1,1,1,112.0,1.2049838868800151,55.426406871192846,175.59194233933977,110.79501611311998,11.857936167081235,0.0,1.0,0.26949854925184624
