scenario,scenario_title,method,path_found,energy_feasible,task_success,battery_capacity,energy_margin,path_length,total_cost,energy,terrain_risk,shadow_ratio,comm_blackout_ratio,avg_slope,setting,sample_seed,replan_count,collision_fail,online_runtime_sec,known_cell_ratio
shadow_comm,Polar Shadow And Communication Gaps,BFS-online,1,1,1,118.0,15.404511774526327,50.497474683058314,185.42208703140622,102.59548822547367,22.018726124131454,0.10810810810810811,1.0,0.2734790844359852,online_local_view,10515,36.0,0.0,0.18871321296319366,0.29530864197530865
shadow_comm,Polar Shadow And Communication Gaps,Greedy-online,1,1,1,118.0,13.83324413252366,52.25483399593904,176.50804117413054,104.16675586747634,14.773412624853158,0.1,1.0,0.22058531562132894,online_local_view,10515,39.0,0.0,0.025334620848298073,0.30320987654320986
shadow_comm,Polar Shadow And Communication Gaps,A* shortest-online,1,1,1,118.0,11.109163080229422,50.497474683058314,192.82299295552033,106.89083691977058,24.104283353948663,0.13513513513513514,1.0,0.30687252307969365,online_local_view,10515,36.0,0.0,0.02027794299647212,0.29530864197530865
shadow_comm,Polar Shadow And Communication Gaps,A* risk-aware-online,1,1,1,118.0,15.240670753422407,56.01219330881975,167.66877570974995,102.7593292465776,7.981573781371328,0.0,1.0,0.17736830625269617,online_local_view,10515,44.0,0.0,1.2713317149318755,0.31753086419753085
shadow_comm,Polar Shadow And Communication Gaps,D* Lite-style,1,1,1,118.0,15.240670753422407,56.01219330881975,167.66877570974995,102.7593292465776,7.981573781371328,0.0,1.0,0.17736830625269617,online_local_view,10515,44.0,0.0,1.2696634028106928,0.31753086419753085
shadow_comm,Polar Shadow And Communication Gaps,DQN-online,1,1,1,118.0,13.971592106302325,52.84062043356595,176.94574527056994,104.02840789369768,14.04946469507125,0.0975609756097561,1.0,0.19754791939198174,online_local_view,10515,0.0,0.0,,
shadow_comm,Polar Shadow And Communication Gaps,PPO-online,1,1,1,118.0,13.971592106302325,52.84062043356595,176.94574527056994,104.02840789369768,14.04946469507125,0.0975609756097561,1.0,0.19754791939198174,online_local_view,10515,0.0,0.0,,
shadow_comm,Polar Shadow And Communication Gaps,BFS,0,0,0,118.0,-1.6170039670299872,47.18376618407356,223.97963405827772,119.61700396702999,33.28306145308268,0.05405405405405406,1.0,0.34819085008331585,offline_full_map,10552,,,,
shadow_comm,Polar Shadow And Communication Gaps,Greedy,0,0,0,118.0,-1.261892870622546,47.52691193458118,231.57298941922102,119.26189287062255,35.57152791043352,0.0,1.0,0.32362892078034655,offline_full_map,10552,,,,
shadow_comm,Polar Shadow And Communication Gaps,A* shortest,0,0,0,118.0,-1.1550902781604435,45.76955262170047,227.39180660839514,119.15509027816044,35.39714769206971,0.0,1.0,0.3457541025574917,offline_full_map,10552,,,,
shadow_comm,Polar Shadow And Communication Gaps,A* risk-aware,1,1,1,118.0,10.496814903204495,62.597979746446654,174.52057715690944,107.5031850967955,8.031416391943958,0.1346153846153846,0.7692307692307693,0.1544503152296915,offline_full_map,10552,,,,
shadow_comm,Polar Shadow And Communication Gaps,DQN,0,1,0,118.0,1.2869038846547198,46.11269837220809,225.58759187970796,116.71309611534528,34.45492712619772,0.0,1.0,0.32512966121572934,offline_full_map,10552,,,,
shadow_comm,Polar Shadow And Communication Gaps,PPO,0,1,0,118.0,1.2869038846547198,46.11269837220809,225.58759187970796,116.71309611534528,34.45492712619772,0.0,1.0,0.32512966121572934,offline_full_map,10552,,,,
shadow_comm,Polar Shadow And Communication Gaps,BFS-online,0,0,0,118.0,-1.6775790245575308,46.11269837220807,230.2688615630126,119.67757902455753,35.151713900290034,0.02631578947368421,1.0,0.32109773421815885,online_local_view,10552,37.0,0.0,0.23987566027790308,0.26567901234567903
shadow_comm,Polar Shadow And Communication Gaps,Greedy-online,0,0,0,118.0,-1.261892870622546,47.52691193458118,231.57298941922102,119.26189287062255,35.57152791043352,0.0,1.0,0.32362892078034655,online_local_view,10552,38.0,0.0,0.02848896197974682,0.2730864197530864
shadow_comm,Polar Shadow And Communication Gaps,A* shortest-online,0,0,0,118.0,-1.9033736459497987,45.76955262170047,228.7370027882044,119.9033736459498,35.99406050408959,0.0,1.0,0.3623350140024885,online_local_view,10552,35.0,0.0,0.05178156588226557,0.26765432098765435
shadow_comm,Polar Shadow And Communication Gaps,A* risk-aware-online,1,1,1,118.0,0.15422785994924482,54.012193308819754,235.89140142052804,117.84577214005076,34.06606064231223,0.0,1.0,0.2189781544723774,online_local_view,10552,42.0,0.0,1.1496689738705754,0.3071604938271605
shadow_comm,Polar Shadow And Communication Gaps,D* Lite-style,1,1,1,118.0,0.15422785994924482,54.012193308819754,235.89140142052804,117.84577214005076,34.06606064231223,0.0,1.0,0.2189781544723774,online_local_view,10552,42.0,0.0,1.1455988641828299,0.3071604938271605
shadow_comm,Polar Shadow And Communication Gaps,DQN-online,0,1,0,118.0,1.2869038846547198,46.11269837220809,225.58759187970796,116.71309611534528,34.45492712619772,0.0,1.0,0.32512966121572934,online_local_view,10552,0.0,0.0,,
shadow_comm,Polar Shadow And Communication Gaps,PPO-online,0,1,0,118.0,1.2869038846547198,46.11269837220809,225.58759187970796,116.71309611534528,34.45492712619772,0.0,1.0,0.32512966121572934,online_local_view,10552,0.0,0.0,,
shadow_comm,Polar Shadow And Communication Gaps,BFS,1,1,1,118.0,10.021955467424604,51.08326112068522,174.8983417807202,107.9780445325754,12.922197680738428,0.0,1.0,0.2058473073878533,offline_full_map,10589,,,,
shadow_comm,Polar Shadow And Communication Gaps,Greedy,1,1,1,118.0,28.426633671506195,56.35533905932736,156.9510101013953,89.5733663284938,7.7995442054951685,0.0,1.0,0.16594774905308868,offline_full_map,10589,,,,
shadow_comm,Polar Shadow And Communication Gaps,A* shortest,1,1,1,118.0,6.3762951328096875,51.08326112068522,183.1632337730365,111.62370486719031,15.501429338439799,0.0,1.0,0.228984982590521,offline_full_map,10589,,,,
shadow_comm,Polar Shadow And Communication Gaps,A* risk-aware,1,1,1,118.0,45.346666180491695,58.11269837220809,141.46241315362138,72.6533338195083,5.330979766706764,0.0,1.0,0.10661959533413529,offline_full_map,10589,,,,
shadow_comm,Polar Shadow And Communication Gaps,DQN,1,1,1,118.0,32.2071034179542,56.941125496954264,154.81404440523144,85.7928965820458,8.143048255779327,0.0,1.0,0.1696468386620693,offline_full_map,10589,,,,
shadow_comm,Polar Shadow And Communication Gaps,PPO,1,1,1,118.0,32.2071034179542,56.941125496954264,154.81404440523144,85.7928965820458,8.143048255779327,0.0,1.0,0.1696468386620693,offline_full_map,10589,,,,
shadow_comm,Polar Shadow And Communication Gaps,BFS-online,1,1,1,118.0,9.335195978888052,51.08326112068522,175.8620156120675,108.66480402111195,13.199112023549159,0.0,1.0,0.2131345269355042,online_local_view,10589,37.0,0.0,0.19995203707367182,0.2967901234567901
shadow_comm,Polar Shadow And Communication Gaps,Greedy-online,1,1,1,118.0,28.426633671506195,56.35533905932736,156.9510101013953,89.5733663284938,7.7995442054951685,0.0,1.0,0.16594774905308868,online_local_view,10589,46.0,0.0,0.03341871127486229,0.32296296296296295
shadow_comm,Polar Shadow And Communication Gaps,A* shortest-online,1,1,1,118.0,6.3762951328096875,51.08326112068522,183.1632337730365,111.62370486719031,15.501429338439799,0.0,1.0,0.228984982590521,online_local_view,10589,37.0,0.0,0.021626166068017483,0.2967901234567901
